n,Tournament External Cache Branchless,Tournament 4ary,Tournament 8ary,Loser 4ary,Loser 8ary
550,966,3218,3169,2942,2786
551,968,3222,3180,2931,2791
552,970,3224,3183,2941,2798
553,972,3235,3195,2948,2814
554,975,3236,3201,2965,2813
555,982,3254,3213,2975,2819
556,979,3257,3218,2973,2832
557,982,3262,3227,2988,2830
558,985,3270,3233,2994,2836
559,986,3271,3240,3004,2842
560,989,3279,3246,3005,2847
561,991,3284,3257,3006,2855
562,993,3291,3259,3019,2862
563,995,3305,3266,3023,2869
564,998,3306,3277,3021,2876
565,1000,3315,3280,3033,2886
566,1003,3326,3287,3045,2886
567,1004,3319,3295,3034,2892
568,1006,3326,3302,3034,2898
569,1009,3341,3308,3060,2905
570,1011,3335,3316,3043,2911
571,1013,3346,3326,3068,2915
572,1016,3346,3330,3083,2924
573,1018,3367,3342,3063,2928
574,1020,3370,3344,3129,2934
575,1023,3380,3352,3101,2939
576,1025,3372,3364,3108,2946
577,1028,3380,3369,3135,2954
578,1029,3392,3380,3120,2960
579,1032,3398,3388,3125,2969
580,1035,3407,3397,3142,2975
581,1037,3422,3407,3139,2982
582,1039,3420,3416,3144,2987
583,1040,3435,3423,3160,2994
584,1043,3444,3428,3171,3000
585,1046,3432,3437,3173,3007
586,1048,3457,3450,3168,3015
587,1050,3448,3457,3197,3020
588,1053,3461,3464,3206,3036
589,1055,3468,3471,3177,3034
590,1057,3474,3482,3207,3040
591,1059,3475,3485,3254,3044
592,1063,3478,3498,3230,3051
593,1065,3501,3504,3244,3058
594,1066,3499,3516,3243,3067
595,1069,3508,3518,3229,3072
596,1071,3506,3526,3236,3086
597,1073,3517,3534,3257,3085
598,1075,3519,3540,3268,3091
599,1077,3529,3547,3274,3096
600,1080,3536,3554,3286,3103
601,1082,3550,3561,3276,3109
602,1085,3547,3569,3288,3115
603,1087,3550,3580,3317,3121
604,1090,3561,3591,3293,3127
605,1091,3562,3595,3317,3133
606,1093,3571,3602,3312,3137
