n,Find (O1),Find (O2),Find (O3),Find (Os),Find (Oz),Heap Cache (O1),Heap Cache (O2),Heap Cache (O3),Heap Cache (Os),Heap Cache (Oz),Tournament Tree (O1),Tournament Tree (O2),Tournament Tree (O3),Tournament Tree (Os),Tournament Tree (Oz)
273,9505,9331,9262,9689,9709,7990,8337,8468,8360,8433,8213,8991,9614,8381,8685
274,9399,9027,8925,9455,9658,8035,8374,8396,8399,8455,8240,9024,9640,8430,8728
275,9458,9078,8919,9521,9631,8082,8429,8550,8437,8491,8278,9078,9695,8483,8760
276,9708,9522,9352,9770,9928,8092,8453,8452,8466,8524,8348,9135,9730,8520,8805
277,9769,9564,9367,9810,9938,8111,8476,8622,8499,8557,8372,9162,9771,8567,8839
278,9473,9187,9023,9526,9671,8158,8507,8580,8541,8591,8398,9200,9832,8626,8894
279,9535,9198,8972,9644,9818,8178,8556,8697,8567,8621,8444,9259,9862,8684,8927
280,9866,9666,9499,9922,10177,8215,8593,8589,8607,8654,8481,9289,9922,8706,8960
281,10116,9931,9735,10202,10410,8232,8629,8767,8627,8691,8532,9355,9949,8765,9012
282,9850,9528,9316,9900,10102,8283,8657,8700,8668,8737,8568,9384,10005,8824,9051
283,9783,9618,9369,9932,10116,8301,8732,8843,8767,8767,8600,9438,10033,8867,9101
284,10158,9992,9792,10181,10540,8346,8735,8798,8743,8829,8647,9464,10151,8919,9133
285,10292,10061,9859,10268,10500,8432,8830,8916,8783,8895,8692,9514,10174,8969,9230
286,9990,9712,9478,10067,10292,8444,8863,8922,8813,8867,8740,9619,10158,8995,9212
287,10016,9767,9544,10091,10343,8442,8832,9048,8914,8907,8754,9651,10203,9049,9269
288,10417,10198,9969,10421,10742,8501,8882,8900,8883,8940,8974,9694,10250,9108,9324
289,10625,10400,10174,10684,10974,8504,8909,9066,8916,8980,8902,9733,10300,9141,9352
290,10298,10039,9820,10373,10578,8522,9000,9011,8965,9002,8893,9773,10336,9201,9388
291,10410,10044,9864,10399,10630,8590,8993,9196,9029,9034,8987,9803,10398,9253,9419
292,10789,10512,10294,10784,10992,8589,9016,9036,9084,9080,9022,9876,10448,9356,9486
293,10755,10506,10333,10824,11039,8607,9086,9228,9043,9113,9041,9905,10472,9363,9501
294,10420,10169,10037,10529,10731,8646,9126,9182,9092,9145,9054,9968,10538,9395,9562
295,10578,10208,10009,10620,10757,8670,9123,9345,9168,9189,9094,9967,10577,9463,9603
296,10910,10653,10445,10960,11252,8790,9158,9175,9208,9216,9151,10031,10602,9545,9637
297,11053,10838,10682,11164,11545,8753,9253,9426,9187,9311,9171,10088,10718,9534,9683
298,10739,10426,10263,10871,11024,8831,9227,9314,9231,9292,9221,10095,10745,9606,9783
299,10795,10505,10309,10898,11028,8915,9262,9460,9325,9356,9252,10117,10722,9655,9752
300,11163,10932,10736,11241,11548,8880,9314,9344,9300,9395,9327,10233,10808,9752,9818
