n,Baseline (copy+sort),Find SIMD,Heap Cache,Tournament Tree
226,51,58,76,89
227,51,58,76,89
228,52,59,77,90
229,52,59,77,90
230,53,60,78,91
231,52,59,79,91
232,53,60,79,92
233,53,61,79,92
234,54,61,80,93
235,53,62,80,93
236,54,62,81,94
237,53,62,81,94
238,55,62,82,94
239,54,63,82,95
240,55,63,83,96
241,54,64,83,96
242,56,65,83,96
243,55,65,84,97
244,56,65,84,97
245,55,65,85,98
246,57,66,86,98
247,56,66,86,99
248,57,66,87,99
249,56,68,87,99
250,58,68,87,100
251,57,68,88,100
252,59,69,88,101
253,57,69,89,101
254,59,69,89,102
255,58,69,90,102
256,59,70,90,103
257,58,72,90,103
258,59,72,91,104
259,59,72,91,104
260,60,73,92,105
261,59,73,92,105
262,60,73,93,106
263,59,74,93,107
264,61,74,93,107
265,60,76,94,107
266,62,76,94,108
267,61,76,94,108
268,62,77,95,109
269,61,77,96,109
270,62,77,96,110
271,61,77,96,110
272,63,78,97,111
273,62,78,97,111
274,63,79,97,112
275,62,79,98,112
276,64,79,99,113
277,63,80,99,113
278,64,80,99,114
279,63,80,99,114
280,64,81,100,115
281,64,82,101,115
282,66,82,101,116
283,64,82,101,117
284,66,83,102,117
285,65,83,102,117
286,66,84,102,118
287,66,84,103,118
288,66,84,104,119
289,66,86,104,119
290,67,87,104,120
291,66,86,104,120
292,68,87,105,121
293,66,87,105,121
294,68,87,106,122
295,68,88,106,122
296,69,88,107,123
297,68,90,107,123
298,69,90,108,123
299,68,90,108,124
300,70,90,108,125
301,69,91,109,125
302,70,92,109,126
303,69,91,109,126
304,71,92,110,127
305,69,93,110,127
306,71,94,111,127
307,70,94,111,128
308,72,94,112,128
309,70,95,112,129
310,72,95,112,130
311,71,95,113,130
312,72,96,113,131
313,72,97,114,131
314,73,98,114,132
315,73,98,115,132
316,74,98,115,133
317,72,99,115,133
318,74,99,116,134
319,73,99,116,134
320,74,100,117,135
321,73,101,117,135
322,75,101,118,135
323,74,102,118,136
324,76,102,119,137
325,74,103,119,137
326,76,103,119,137
327,75,103,119,138
328,76,103,120,138
329,75,106,120,139
330,78,106,121,140
331,76,106,121,140
332,77,106,122,140
333,76,107,122,141
334,78,108,123,141
335,77,108,123,142
336,80,108,124,142
337,77,109,124,143
338,79,110,124,143
339,78,110,125,144
340,79,111,125,145
341,78,111,126,145
342,80,111,126,145
343,79,112,126,146
344,81,112,127,146
345,79,113,127,147
346,81,114,128,147
347,80,115,128,148
