COMPILER_VERSION 15.1.1 20250528
ARRAY_LENGTH 10000000
ARRAY_COUNT 20
ITER_COUNT 1
NUM_TESTS 30
TEST_TYPE ordered
SEED 1759363683

Init: 14334

## MERGING 3 LISTS ##
Baseline (copy+sort) 193
Name                                     | Success | Init   | Min, Med, Max     | Standard Deviation | Error Msg
Insert Cache (O2)                        | true    |      ? |       125,125,125 |             0.0000 |
Insert Cache (Os)                        | true    |      ? |          85,85,85 |             0.0000 |
Tournament Tree (Os)                     | true    |      ? |       286,286,286 |             0.0000 |
Tournament Tree (O1)                     | true    |      ? |       226,226,226 |             0.0000 |
Insert Cache (O1)                        | true    |      ? |       157,157,157 |             0.0000 |
Insert Cache (Oz)                        | true    |      ? |          85,85,85 |             0.0000 |
Insert Cache (O3)                        | true    |      ? |       179,179,179 |             0.0000 |
Heap Cache (Oz)                          | true    |      ? |       684,684,684 |             0.0000 |
State Machine Cache (O3)                 | false   |      ? |                 ? |                  ? | Unsupported
Heap Cache (Os)                          | true    |      ? |       684,684,684 |             0.0000 |
State Machine Cache (O2)                 | false   |      ? |                 ? |                  ? | Unsupported
Find (O3)                                | true    |      ? |    1367,1367,1367 |             0.0000 |
Tournament Tree (Oz)                     | true    |      ? |       284,284,284 |             0.0000 |
Find Unrolled (Oz)                       | true    |      ? |       421,421,421 |             0.0000 |
Tournament Tree (O3)                     | true    |      ? |       180,180,180 |             0.0000 |
Heap Cache (O1)                          | true    |      ? |       170,170,170 |             0.0000 |
Find (O1)                                | true    |      ? |       961,961,961 |             0.0000 |
Tournament Tree (O2)                     | true    |      ? |       181,181,181 |             0.0000 |
Find Unrolled (Os)                       | true    |      ? |       413,413,413 |             0.0000 |

## MERGING 12 LISTS ##
Baseline (copy+sort) 810
Name                                     | Success | Init   | Min, Med, Max     | Standard Deviation | Error Msg
----------------------------------------------------------------------------------------------------------------
Find (Os)                                | true    |      ? |    1065,1065,1065 |             0.0000 |
Find Unrolled (O1)                       | true    |      ? |       518,518,518 |             0.0000 |
Heap Cache (O3)                          | true    |      ? |       744,744,744 |             0.0000 |
State Machine Cache (Oz)                 | false   |      ? |                 ? |                  ? | Unsupported
Find Unrolled (O2)                       | true    |      ? |       517,517,517 |             0.0000 |
Heap Cache (O2)                          | true    |      ? |       746,746,746 |             0.0000 |
Find Unrolled (O3)                       | true    |      ? |       518,518,518 |             0.0000 |
State Machine Cache (O1)                 | false   |      ? |                 ? |                  ? | Unsupported
Find (Oz)                                | true    |      ? |    1001,1001,1001 |             0.0000 |
Find (O2)                                | true    |      ? |    1053,1053,1053 |             0.0000 |
State Machine Cache (Os)                 | false   |      ? |                 ? |                  ? | Unsupported
Insert Cache (O2)                        | true    |      ? |       137,137,137 |             0.0000 |
Insert Cache (Os)                        | true    |      ? |          92,92,92 |             0.0000 |
Tournament Tree (Os)                     | true    |      ? |       310,310,310 |             0.0000 |
Tournament Tree (O1)                     | true    |      ? |       250,250,250 |             0.0000 |
Insert Cache (O1)                        | true    |      ? |       171,171,171 |             0.0000 |
Insert Cache (Oz)                        | true    |      ? |          92,92,92 |             0.0000 |
Insert Cache (O3)                        | true    |      ? |       197,197,197 |             0.0000 |
Heap Cache (Oz)                          | true    |      ? |       743,743,743 |             0.0000 |
State Machine Cache (O3)                 | false   |      ? |                 ? |                  ? | Unsupported
Heap Cache (Os)                          | true    |      ? |       745,745,745 |             0.0000 |
State Machine Cache (O2)                 | false   |      ? |                 ? |                  ? | Unsupported
Find (O3)                                | true    |      ? |    1479,1479,1479 |             0.0000 |
Tournament Tree (Oz)                     | true    |      ? |       312,312,312 |             0.0000 |
Find Unrolled (Oz)                       | true    |      ? |       519,519,519 |             0.0000 |
Tournament Tree (O3)                     | true    |      ? |       198,198,198 |             0.0000 |
Heap Cache (O1)                          | true    |      ? |       186,186,186 |             0.0000 |
Find (O1)                                | true    |      ? |    1051,1051,1051 |             0.0000 |
Tournament Tree (O2)                     | true    |      ? |       196,196,196 |             0.0000 |
Find Unrolled (Os)                       | true    |      ? |       517,517,517 |             0.0000 |

## MERGING 13 LISTS ##
Baseline (copy+sort) 877
Name                                     | Success | Init   | Min, Med, Max     | Standard Deviation | Error Msg
----------------------------------------------------------------------------------------------------------------
Find (Os)                                | true    |      ? |    1152,1152,1152 |             0.0000 |
Find Unrolled (O1)                       | true    |      ? |       644,644,644 |             0.0000 |
Heap Cache (O3)                          | true    |      ? |       806,806,806 |             0.0000 |
State Machine Cache (Oz)                 | false   |      ? |                 ? |                  ? | Unsupported
Find Unrolled (O2)                       | true    |      ? |       647,647,647 |             0.0000 |
Heap Cache (O2)                          | true    |      ? |       807,807,807 |             0.0000 |
Find Unrolled (O3)                       | true    |      ? |       645,645,645 |             0.0000 |
