n,Heap Branchless Parallel,Heap 3ary Branchless Parallel,Heap 4ary Branchless Parallel
794,1519,1375,1312
795,1520,1375,1313
796,1522,1376,1313
797,1519,1379,1315
798,1650,1382,1317
799,1524,1384,1318
800,1522,1382,1319
801,1540,1384,1321
802,1525,1433,1322
803,1590,1389,1325
804,1525,1379,1327
805,1527,1390,1328
806,1528,1389,1328
807,1533,1395,1331
808,1534,1394,1330
809,1534,1472,1334
810,1532,1397,1333
811,1538,1401,1336
812,1535,1401,1337
813,1539,1402,1341
814,1557,1438,1341
815,1537,1407,1339
816,1539,1407,1411
817,1538,1408,1346
818,1586,1411,1347
819,1545,1413,1367
820,1543,1415,1349
821,1543,1439,1349
822,1547,1426,1359
823,1547,1418,1350
824,1547,1419,1354
825,1548,1422,1355
826,1678,1422,1356
827,1552,1422,1360
828,1551,1425,1362
829,1551,1426,1379
830,1554,1428,1364
831,1560,1429,1361
832,1556,1429,1367
833,1559,1432,1367
834,1560,1437,1355
835,1561,1435,1370
836,1561,1514,1370
837,1563,1437,1375
838,1595,1440,1375
839,1565,1453,1377
840,1567,1442,1378
841,1567,1448,1380
842,1572,1447,1382
843,1571,1448,1382
844,1618,1449,1384
845,1571,1452,1385
846,1574,1455,1387
847,1575,1477,1389
848,1572,1457,1387
849,1577,1457,1378
850,1580,1461,1393
851,1624,1461,1394
852,1583,1484,1396
853,1583,1464,1396
854,1581,1465,1399
855,1583,1467,1425
856,1584,1470,1422
857,1590,1469,1403
858,1585,1471,1403
859,1645,1473,1392
860,1591,1475,1406
861,1590,1509,1409
862,1595,1476,1408
863,1592,1480,1427
864,1594,1497,1413
865,1595,1482,1415
866,1626,1482,1483
867,1654,1487,1418
868,1595,1486,1418
869,1599,1489,1438
870,1599,1489,1420
871,1600,1514,1421
872,1602,1491,1425
873,1731,1494,1424
874,1606,1495,1426
875,1601,1506,1430
876,1600,1494,1427
877,1604,1512,1428
878,1606,1532,1430
879,1607,1499,1433
880,1606,1502,1431
881,1610,1580,1435
882,1734,1582,1435
883,1612,1505,1437
884,1612,1507,1440
885,1610,1511,1441
886,1620,1510,1441
887,1742,1514,1443
888,1679,1514,1447
889,1619,1516,1448
890,1619,1516,1447
891,1623,1541,1450
892,1622,1519,1460
893,1628,1523,1469
894,1624,1524,1522
895,1629,1515,1458
896,1755,1562,1442
897,1756,1607,1527
898,1756,1611,1528
899,1761,1610,1530
900,1761,1612,1532
901,1762,1614,1533
902,1761,1615,1534
903,1763,1617,1536
904,1766,1619,1538
905,1767,1620,1540
906,1766,1622,1541
907,1769,1624,1542
908,1770,1625,1544
909,1774,1629,1547
910,1776,1629,1547
911,1777,1630,1549
912,1778,1632,1551
913,1779,1634,1553
914,1781,1636,1554
915,1782,1638,1555
916,1784,1639,1556
917,1783,1641,1559
918,1785,1642,1559
919,1785,1645,1561
920,1788,1646,1563
921,1791,1648,1565
922,1792,1649,1565
923,1795,1651,1568
924,1795,1653,1569
925,1797,1654,1570
926,1796,1657,1572
927,1800,1658,1573
928,1800,1660,1575
929,1804,1661,1577
930,1804,1664,1579
931,1805,1665,1581
932,1807,1666,1582
933,1832,1680,1583
934,1807,1670,1585
935,1809,1671,1586
936,1811,1673,1588
937,1815,1675,1589
938,1817,1676,1591
939,1818,1678,1593
940,1845,1681,1595
941,1819,1681,1597
942,1823,1683,1598
943,1825,1686,1599
944,1842,1687,1602
945,1828,1688,1603
946,1830,1691,1604
947,1832,1691,1606
948,1833,1694,1609
949,1836,1697,1610
950,1836,1697,1612
951,1836,1698,1613
952,1840,1701,1615
953,1842,1702,1616
954,1844,1704,1617
955,1842,1706,1619
956,1846,1707,1621
957,1849,1710,1624
958,1851,1712,1624
959,1851,1712,1626
960,1854,1715,1627
961,1856,1717,1630
962,1857,1717,1630
963,1857,1719,1632
964,1862,1722,1634
965,1862,1736,1636
966,1863,1725,1637
967,1865,1727,1641
968,1869,1729,1641
969,1870,1730,1643
970,1870,1732,1643
971,1874,1733,1645
972,1875,1735,1646
973,1877,1738,1649
974,1877,1739,1650
975,1881,2371,1652
976,1881,1743,1654
977,1886,1744,1656
978,1913,1746,1657
979,1889,1748,1658
980,1890,1749,1660
981,1894,1753,1663
982,1895,1754,1664
983,1898,1756,1665
984,1900,1757,1667
985,1902,1759,1668
986,1904,1760,1670
987,1906,1762,1671
988,1907,1763,1672
989,1908,1765,1675
990,1911,1767,1676
991,1915,1768,1678
992,1916,1771,1680
993,1918,1772,1681
994,1920,1774,1682
995,1923,1776,1685
996,1925,1778,1687
997,1926,1780,1688
998,1930,1780,1689
999,1932,1784,1691
1000,2648,1785,1693
