n,Baseline (copy+sort),Find SIMD (O2),Find SIMD (O3),Insert Cache (O2),Insert Cache (O3),Heap Cache (O2),Heap Cache (O3),Tournament Tree (O2),Tournament Tree (O3)
461,15024,19204,19226,45344,20586,15614,15511,14504,14456
462,15249,20262,20331,45488,20563,15693,15570,14519,14482
463,15145,20330,20344,45721,20602,15711,15604,14550,14509
464,15373,19317,19275,45898,20794,15766,15628,14606,14606
465,15184,19576,19591,46061,20905,15836,15694,14604,14582
466,15403,20736,20793,46258,20860,15863,15696,14688,14660
467,15245,20788,20811,46478,20937,15889,15804,14697,14678
468,15462,19711,19737,46618,21135,15961,15823,14750,14709
469,15381,19766,19775,46805,21272,16002,15874,14772,14779
470,15441,20954,20947,46984,21214,16034,15946,14812,14766
471,15403,20954,20961,47164,21318,16088,15988,14869,14813
472,15677,19904,19921,47360,21515,16129,16049,14877,14832
473,15337,20152,20149,47531,21601,16150,16057,14906,14882
474,15706,21367,21382,47714,21540,16203,16116,14957,14914
475,15502,21398,21387,47885,21680,16260,16153,14966,14985
476,15730,20322,20310,48117,21894,16305,16188,14973,14954
477,15651,20376,20387,48299,21945,16329,16204,15053,14997
478,16034,21484,21479,48521,21970,16375,16311,15079,15037
479,15663,21545,21537,48698,22032,16430,16348,15090,15049
480,16150,20489,20452,48886,22260,16455,16369,15155,15101
481,15794,20765,20727,49109,22357,16515,16439,15194,15116
482,15974,21921,21961,49261,22295,16559,16496,15230,15198
483,15651,21935,21991,49371,22387,16615,16530,15243,15225
484,16017,20902,20914,49647,22630,16612,16574,15258,15243
