COMPILER_VERSION 15.1.1 20250528
ARRAY_LENGTH 10000000
ARRAY_COUNT 20
ITER_COUNT 1
NUM_TESTS 30
SEED 1759287768

Init: 12341

## MERGING 3 LISTS ##
Baseline (copy+sort) 482
Name                                     | Success | Init   | Min, Med, Max     | Standard Deviation | Error Msg
State Machine Cache (O2)                 | false   |      ? |                 ? |                  ? | Unsupported
Tournament Tree (O3)                     | true    |      ? |    1197,1197,1197 |             0.0000 |
Find (Os)                                | true    |      ? |    1606,1606,1606 |             0.0000 |
Find Unrolled (Oz)                       | true    |      ? |       870,870,870 |             0.0000 |
Tournament Tree (O2)                     | true    |      ? |    1203,1203,1203 |             0.0000 |
State Machine Cache (O1)                 | false   |      ? |                 ? |                  ? | Unsupported
Insert Cache (O3)                        | true    |      ? |       877,877,877 |             0.0000 |
Find Unrolled (O1)                       | true    |      ? |       878,878,878 |             0.0000 |
Insert Cache (Oz)                        | true    |      ? |       789,789,789 |             0.0000 |
Insert Cache (O1)                        | true    |      ? |       770,770,770 |             0.0000 |
Tournament Tree (Os)                     | true    |      ? |    1344,1344,1344 |             0.0000 |
State Machine Cache (O3)                 | false   |      ? |                 ? |                  ? | Unsupported
Heap Cache (O2)                          | true    |      ? |    1051,1051,1051 |             0.0000 |
Find Unrolled (Os)                       | true    |      ? |       892,892,892 |             0.0000 |
State Machine Cache (Oz)                 | false   |      ? |                 ? |                  ? | Unsupported
Insert Cache (Os)                        | true    |      ? |       783,783,783 |             0.0000 |
State Machine Cache (Os)                 | false   |      ? |                 ? |                  ? | Unsupported

## MERGING 11 LISTS ##
Baseline (copy+sort) 2242
Name                                     | Success | Init   | Min, Med, Max     | Standard Deviation | Error Msg
----------------------------------------------------------------------------------------------------------------
Find Unrolled (O3)                       | true    |      ? |    1049,1049,1049 |             0.0000 |
Find (O1)                                | true    |      ? |    1614,1614,1614 |             0.0000 |
Find (O3)                                | true    |      ? |    1852,1852,1852 |             0.0000 |
Find (Oz)                                | true    |      ? |    1737,1737,1737 |             0.0000 |
Heap Cache (Oz)                          | true    |      ? |    1332,1332,1332 |             0.0000 |
Heap Cache (Os)                          | true    |      ? |    1286,1286,1286 |             0.0000 |
Insert Cache (O2)                        | true    |      ? |       897,897,897 |             0.0000 |
Heap Cache (O1)                          | true    |      ? |    1367,1367,1367 |             0.0000 |
Heap Cache (O3)                          | true    |      ? |    1255,1255,1255 |             0.0000 |
Find Unrolled (O2)                       | true    |      ? |    1060,1060,1060 |             0.0000 |
Tournament Tree (Oz)                     | true    |      ? |    1649,1649,1649 |             0.0000 |
Tournament Tree (O1)                     | true    |      ? |    1408,1408,1408 |             0.0000 |
Find (O2)                                | true    |      ? |    1690,1690,1690 |             0.0000 |
State Machine Cache (O2)                 | false   |      ? |                 ? |                  ? | Unsupported
Tournament Tree (O3)                     | true    |      ? |    1373,1373,1373 |             0.0000 |
Find (Os)                                | true    |      ? |    1805,1805,1805 |             0.0000 |
Find Unrolled (Oz)                       | true    |      ? |    1050,1050,1050 |             0.0000 |
Tournament Tree (O2)                     | true    |      ? |    1382,1382,1382 |             0.0000 |
State Machine Cache (O1)                 | false   |      ? |                 ? |                  ? | Unsupported
Insert Cache (O3)                        | true    |      ? |       989,989,989 |             0.0000 |
Find Unrolled (O1)                       | true    |      ? |    1066,1066,1066 |             0.0000 |
Insert Cache (Oz)                        | true    |      ? |       922,922,922 |             0.0000 |
Insert Cache (O1)                        | true    |      ? |       884,884,884 |             0.0000 |
Tournament Tree (Os)                     | true    |      ? |    1545,1545,1545 |             0.0000 |
State Machine Cache (O3)                 | false   |      ? |                 ? |                  ? | Unsupported
Heap Cache (O2)                          | true    |      ? |    1265,1265,1265 |             0.0000 |
Find Unrolled (Os)                       | true    |      ? |    1049,1049,1049 |             0.0000 |
State Machine Cache (Oz)                 | false   |      ? |                 ? |                  ? | Unsupported
Insert Cache (Os)                        | true    |      ? |       910,910,910 |             0.0000 |
State Machine Cache (Os)                 | false   |      ? |                 ? |                  ? | Unsupported

## MERGING 12 LISTS ##
Baseline (copy+sort) 2897
Name                                     | Success | Init   | Min, Med, Max     | Standard Deviation | Error Msg
----------------------------------------------------------------------------------------------------------------
Find Unrolled (O3)                       | true    |      ? |    1276,1276,1276 |             0.0000 |
Find (O1)                                | true    |      ? |    1810,1810,1810 |             0.0000 |
Find (O3)                                | true    |      ? |    2055,2055,2055 |             0.0000 |
Find (Oz)                                | true    |      ? |    1907,1907,1907 |             0.0000 |
Heap Cache (Oz)                          | true    |      ? |    1493,1493,1493 |             0.0000 |
Heap Cache (Os)                          | true    |      ? |    1438,1438,1438 |             0.0000 |
Insert Cache (O2)                        | true    |      ? |    1012,1012,1012 |             0.0000 |
Heap Cache (O1)                          | true    |      ? |    1525,1525,1525 |             0.0000 |
Heap Cache (O3)                          | true    |      ? |    1409,1409,1409 |             0.0000 |
Find Unrolled (O2)                       | true    |      ? |    1298,1298,1298 |             0.0000 |
Tournament Tree (Oz)                     | true    |      ? |    1758,1758,1758 |             0.0000 |
Tournament Tree (O1)                     | true    |      ? |    1470,1470,1470 |             0.0000 |
Find (O2)                                | true    |      ? |    1857,1857,1857 |             0.0000 |
State Machine Cache (O2)                 | false   |      ? |                 ? |                  ? | Unsupported
Tournament Tree (O3)                     | true    |      ? |    1449,1449,1449 |             0.0000 |
Find (Os)                                | true    |      ? |    1987,1987,1987 |             0.0000 |
Find Unrolled (Oz)                       | true    |      ? |    1255,1255,1255 |             0.0000 |
Tournament Tree (O2)                     | true    |      ? |    1439,1439,1439 |             0.0000 |
State Machine Cache (O1)                 | false   |      ? |                 ? |                  ? | Unsupported
Insert Cache (O3)                        | true    |      ? |    1112,1112,1112 |             0.0000 |
Find Unrolled (O1)                       | true    |      ? |    1260,1260,1260 |             0.0000 |
Insert Cache (Oz)                        | true    |      ? |    1038,1038,1038 |             0.0000 |
Insert Cache (O1)                        | true    |      ? |       982,982,982 |             0.0000 |
Tournament Tree (Os)                     | true    |      ? |    1634,1634,1634 |             0.0000 |
State Machine Cache (O3)                 | false   |      ? |                 ? |                  ? | Unsupported
Heap Cache (O2)                          | true    |      ? |    1423,1423,1423 |             0.0000 |
Find Unrolled (Os)                       | true    |      ? |    1270,1270,1270 |             0.0000 |
State Machine Cache (Oz)                 | false   |      ? |                 ? |                  ? | Unsupported
Insert Cache (Os)                        | true    |      ? |    1024,1024,1024 |             0.0000 |
State Machine Cache (Os)                 | false   |      ? |                 ? |                  ? | Unsupported

## MERGING 13 LISTS ##
Baseline (copy+sort) 2942
Name                                     | Success | Init   | Min, Med, Max     | Standard Deviation | Error Msg
----------------------------------------------------------------------------------------------------------------
Find Unrolled (O3)                       | true    |      ? |    1569,1569,1569 |             0.0000 |
Find (O1)                                | true    |      ? |    2033,2033,2033 |             0.0000 |
Find (O3)                                | true    |      ? |    2223,2223,2223 |             0.0000 |
Find (Oz)                                | true    |      ? |    2060,2060,2060 |             0.0000 |
Heap Cache (Oz)                          | true    |      ? |    1684,1684,1684 |             0.0000 |
Heap Cache (Os)                          | true    |      ? |    1625,1625,1625 |             0.0000 |
Insert Cache (O2)                        | true    |      ? |    1117,1117,1117 |             0.0000 |
Heap Cache (O1)                          | true    |      ? |    1729,1729,1729 |             0.0000 |
Heap Cache (O3)                          | true    |      ? |    1600,1600,1600 |             0.0000 |
Find Unrolled (O2)                       | true    |      ? |    1565,1565,1565 |             0.0000 |
Tournament Tree (Oz)                     | true    |      ? |    2015,2015,2015 |             0.0000 |
Tournament Tree (O1)                     | true    |      ? |    1799,1799,1799 |             0.0000 |
Find (O2)                                | true    |      ? |    2026,2026,2026 |             0.0000 |
State Machine Cache (O2)                 | false   |      ? |                 ? |                  ? | Unsupported
Tournament Tree (O3)                     | true    |      ? |    1739,1739,1739 |             0.0000 |
Find (Os)                                | true    |      ? |    2155,2155,2155 |             0.0000 |
Find Unrolled (Oz)                       | true    |      ? |    1551,1551,1551 |             0.0000 |
Tournament Tree (O2)                     | true    |      ? |    1750,1750,1750 |             0.0000 |
State Machine Cache (O1)                 | false   |      ? |                 ? |                  ? | Unsupported
Insert Cache (O3)                        | true    |      ? |    1367,1367,1367 |             0.0000 |
Find Unrolled (O1)                       | true    |      ? |    1545,1545,1545 |             0.0000 |
Insert Cache (Oz)                        | true    |      ? |    1136,1136,1136 |             0.0000 |
Insert Cache (O1)                        | true    |      ? |    1090,1090,1090 |             0.0000 |
Tournament Tree (Os)                     | true    |      ? |    1949,1949,1949 |             0.0000 |
State Machine Cache (O3)                 | false   |      ? |                 ? |                  ? | Unsupported
Heap Cache (O2)                          | true    |      ? |    1599,1599,1599 |             0.0000 |
Find Unrolled (Os)                       | true    |      ? |    1560,1560,1560 |             0.0000 |
State Machine Cache (Oz)                 | false   |      ? |                 ? |                  ? | Unsupported
Insert Cache (Os)                        | true    |      ? |    1130,1130,1130 |             0.0000 |
State Machine Cache (Os)                 | false   |      ? |                 ? |                  ? | Unsupported

## MERGING 14 LISTS ##
Baseline (copy+sort) 3402
Name                                     | Success | Init   | Min, Med, Max     | Standard Deviation | Error Msg
----------------------------------------------------------------------------------------------------------------
