n,Heap (Cache),Tournament Tree (Cache)
2012,113,134
2013,114,133
2014,113,133
2015,114,133
2016,113,133
2017,113,135
2018,113,133
2019,114,134
2020,114,133
2021,116,135
2022,114,135
2023,114,135
2024,114,134
2025,114,134
2026,116,136
2027,114,135
2028,115,135
2029,114,136
2030,114,135
2031,115,136
2032,115,135
2033,115,136
2034,115,135
2035,114,136
2036,115,136
2037,116,139
2038,116,136
2039,116,136
2040,114,135
2041,115,136
2042,115,137
2043,115,137
2044,114,137
2045,116,136
2046,115,136
2047,116,136
2048,116,136
2049,116,136
2050,115,137
2051,115,136
2052,116,136
2053,116,137
2054,116,137
2055,120,137
2056,116,136
2057,117,139
2058,119,139
2059,116,137
2060,116,136
2061,117,139
2062,116,137
2063,116,137
2064,117,137
2065,118,138
2066,117,138
2067,117,137
2068,116,137
2069,118,138
2070,119,137
2071,119,140
2072,118,138
2073,118,138
2074,117,139
2075,117,138
2076,119,138
2077,118,139
2078,120,138
2079,119,140
2080,118,139
2081,118,139
2082,119,140
2083,118,139
2084,118,139
2085,118,139
2086,118,140
2087,118,140
2088,118,139
2089,118,139
2090,119,140
2091,121,139
2092,119,140
2093,119,140
2094,119,139
2095,120,140
2096,120,140
2097,122,140
2098,122,141
2099,119,140
2100,120,139
2101,120,141
2102,121,141
